Timestamp,Are you employed?,What is your job?,How many people are in your house?,What is your personal income?,What is your total household income?,What categories of income do you currently have?,If u said other please mention what it was,Do you have a vehicle/s?,Do you live alone and cover your own expenses?,"If you live alone, How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly","If you live alone, How much do you spend on basic needs monthly?",If you live with family How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly,If you live with family How much do you spend on basic needs monthly?,How much do you save monthly?,fam total spent,alone total spent,Age,Risk_proxy_returns,age range,"less than 5000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90","less than 5000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90","less than 5000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90",,,,,,,,Advice 2,Advice 3
04/01/2025 22:30,1,HR Manager,6,65000,270000,"Salary, Commission",pension,No,no,,,22000,245000,3000,"267,000",,34,0.011235955,18-25,"Save for short-term goals (e.g., education, relocation).","Start an emergency fund. aim for 1–3 months of expenses (even LKR 30,000 can prevent borrowing during crises).","Leverage Community Support: NGOs often provide free meals, school supplies, or medical camps.",,,,,,,2–3 months a year to ban non-essential purchases.,,
10/01/2025 20:10,1,Design Engineer,3,140000,1800000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,294000,352500,1153500,"646,500",,27,1.784222738,26–35,2–3 months a year to ban non-essential purchases.,Buy groceries in bulk with neighbours/friends and split costs—saves on unit price.,"Grow a home garden to reduce food costs or collect free seasonal produce (jackfruit, coconuts) from public spaces..",,,,,,,Automate savings to avoid lifestyle inflation.,,
04/01/2025 23:06,1,Diagnostic Technician,4,60000,260000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,,24000,144000,92000,"168,000",,42,0.547619048,36–45,2–3 months a year to ban non-essential purchases.,"Avoid seettu (rotating savings group). If desperate, try with a trusted group","Grow a home garden to reduce food costs or collect free seasonal produce (jackfruit, coconuts) from public spaces..",,,,,,,Second-hand purchases: Buy refurbished phones/electronics on Kapruka or Facebook Marketplace.,,
,1,Restaurant Manager,2,80000,120000,Salary,,No,no,,,10000,91500,18500,"101,500",,47,0.18226601,46–55,"Start an emergency fund. aim for 5–6 months of expenses (even LKR 80,000 can prevent borrowing during crises).","Avoid seettu (rotating savings group). If desperate, try with a trusted group",Buy groceries in bulk with neighbours/friends and split costs—saves on unit price.,,,,,,,,,
30/12/2024 12:34,1,Fashion Designer,4,100000,250000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,28000,197500,24500,"225,500",,26,0.10864745, 56–65,Free public healthcare: Use government clinics to avoid private hospital costs.,"Start an emergency fund. aim for 5–6 months of expenses (even LKR 80,000 can prevent borrowing during crises).",Buy groceries in bulk with neighbours/friends and split costs—saves on unit price.,,,,,,,,,
05/01/2025 00:18,1,Stock Broker,1,55000,55000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Graphic design gigs,Yes,yes,10000,26500,,,18500,,"36,500",42,0.506849315,66–75,,,,,,,,,,,,
29/12/2024 17:12,0,,2,150000,150000,"Freelancing, Brand endorsements",,Yes,no,,,15500,107000,27500,"122,500",,45,0.224489796,76-90,,,,,,,,,,,,
30/12/2024 12:37,1,Design Engineer,2,1500000,1500000,"Investments (fixed deposits, stocks etc), Salary",,Yes,no,,,210000,330500,959500,"540,500",,30,1.775208141,,"less than 15000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90","less than 15000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90","less than 15000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90",,,,,,,,,
04/01/2025 23:10,1,Dancer,1,150000,150000,"Salary, Freelancing",pension,Yes,yes,16000,76000,,,58000,,"92,000",54,0.630434783,18-25,"Save for short-term goals (e.g., education, relocation).","Start an emergency fund. aim for 1–3 months of expenses (even LKR 50,000 can prevent borrowing during crises).","Repair, don’t replace: Fix appliances/clothing instead of buying new ones.",,,,,,,,,
30/12/2024 12:34,1,contract construction worker,3,120000,200000,"Salary, Commission, Investments",,Yes,no,,,48000,113000,39000,"161,000",,33,0.242236025,26–35,Grow emergency savings (3–6 months of expenses).,Second-hand purchases: Buy refurbished phones/electronics on Kapruka or Facebook Marketplace.,"Save to build income diversity (side hustles, freelancing, or overseas jobs).",,,,,,,,,
