,housing_day_1,utilities_day_1,food_groceries_day_1,healthcare_day_1,transportation_day_1,debt_repayment_day_1,insurance_day_1,childcare_family_day_1,education_day_1,lifestyle_and_discretionary_day_1,entertainment_day_1,personal_expenses_day_1,gifts_and_donations_day_1,Miscellaneous_day_1,,housing_day_2,utilities_day_2,food_groceries_day_2,healthcare_day_2,transportation_day_2,debt_repayment_day_2,insurance_day_2,childcare_family_day_2,education_day_2,lifestyle_and_discretionary_day_2,entertainment_day_2,personal_expenses_day_2,gifts_and_donations_day_2,Miscellaneous_day_2,,housing_day_3,utilities_day_3,food_groceries_day_3,healthcare_day_3,transportation_day_3,debt_repayment_day_3,insurance_day_3,childcare_family_day_3,education_day_3,lifestyle_and_discretionary_day_3,entertainment_day_3,personal_expenses_day_3,gifts_and_donations_day_3,Miscellaneous_day_3,,housing_day_4,utilities_day_4,food_groceries_day_4,healthcare_day_4,transportation_day_4,debt_repayment_day_4,insurance_day_4,childcare_family_day_4,education_day_4,lifestyle_and_discretionary_day_4,entertainment_day_4,personal_expenses_day_4,gifts_and_donations_day_4,Miscellaneous_day_4,,housing_day_5,utilities_day_5,food_groceries_day_5,healthcare_day_5,transportation_day_5,debt_repayment_day_5,insurance_day_5,childcare_family_day_5,education_day_5,lifestyle_and_discretionary_day_5,entertainment_day_5,personal_expenses_day_5,gifts_and_donations_day_5,Miscellaneous_day_5,,housing_day_6,utilities_day_6,food_groceries_day_6,healthcare_day_6,transportation_day_6,debt_repayment_day_6,insurance_day_6,childcare_family_day_6,education_day_6,lifestyle_and_discretionary_day_6,entertainment_day_6,personal_expenses_day_6,gifts_and_donations_day_6,Miscellaneous_day_6,,housing_day_7,utilities_day_7,food_groceries_day_7,healthcare_day_7,transportation_day_7,debt_repayment_day_7,insurance_day_7,childcare_family_day_7,education_day_7,lifestyle_and_discretionary_day_7,entertainment_day_7,personal_expenses_day_7,gifts_and_donations_day_7,Miscellaneous_day_7,sentiment,,
Jan week 1,,,,,,,,9000,,,17000,6000,9800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very positive,42200,174100
Jan week 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,5000,4000,,,very positive,33500,
Jan week 3,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10700,,,,,,,,,,,,Neutral,11300,
Jan week 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000,,,,,,,,,,28600,,,,,,,,5000,,,,,Negetive,47900,
Jan week 5,,,,,,28000,,,,,,,,,,,,2700,,,,,,,,,,,,,,,8500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negetive,39200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb week 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,1000,,,,,,,,,,,,,,,,,,,,,12300,,,,,,,,6000,,,,Positive,24300,153100
Feb week 2,,,,,500,,,,,,800,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,500,,,,,,,,,,,,,8000,,,,,Positive,20200,
Feb week 3,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very positive,11500,
Feb week 4,,,,4500,1900,,,,,,,,,,,,,,6900,300,,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very positive,27600,
Feb week 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9500,,,28000,,,,,,,,,,,32000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very negetive,69500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
march week 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,Negetive,1200,137920
march week 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,2000,,1000,Very positive,4000,
march week 3,,,800,,700,,,,,,,,100,,,,,400,,400,,,,,,,,,,,,,16000,,2000,,,,,,,7000,,,,,,600,,,,,,,,,600,200,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negetive,29200,
march week 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9600,200,,,,,,,,,,,,,,,,,,,,,,,,,,Negetive,15300,
march week 5,,,,,400,,,,,,,,,,,,,120,,700,,,,,,,,,,,,,,,,,14000,,,,,,,,,,,,,,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,,,,,,,36000,,,,,,,,,,,,,Very negetive,88220,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
april week 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,27000,,5000,,,,,,6000,4000,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,,,3000,,,,Very positive,65200,189700
april week 2,,,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,400,,,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,, positive,9500,
april week 3,,,900,,900,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,1000,200,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, positive,6900,
april week 4,,,,,,,,,,,,,,,,,,,,,,,,,1200,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000,,,,,,,,,,44600,,,6700,28000,,,,,,,,, positive,98500,
april week 5,,,,,,,,,,2700,6000,,,,,,,400,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,9600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
may week 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,Negetive,24000,130860
may week 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,,400,,,,,5000,,,,,,,,,,,,,,,,,,,,Neutral,6060,
may week 3,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8700,,2000,,,,,,8000,,,,Very positive,19600,
may week 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,6000,,,,,,,,,,400,,,,,,,900,,,,,,1900,,2400,,,,,,,,,,,,,,,,,,,,10000,4500,,,,Very positive,26500,
may week 5,,,400,,,,14000,,,,,,,,,,,,,10000,,,,,,,,,,,,29900,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,54700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june week 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18900,,,,,,,,,,,,Very positive,18900,111390
june week 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,,,,,,12000,5000,,,Very positive,20400,
june week 3,,,700,,200,,,,,,,,,,,,,1500,8000,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negetive,10670,
june week 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,Neutral,1320,
june week 5,,,300,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,14000,,,,,,,,,,,,,500,,,,,,,500,,,,,,12000,,,,,,,,,,,,,,31500,,,,,,,,,,,,,Neutral,60100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
july week 1,,,800,,250,,,,,,,,,,,,,500,,,,,,,,,,,,,,,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,positive,17650,77040
july week 2,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,Neutral,1350,
july week 3,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very positive,1120,
july week 4,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,14000,,,,,,,,,,,,,120,,,,,,,,,,Neutral,14420,
july week 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34500,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,42500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
august week 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,1500,6000,,,Very positive,8000,114640
august week 2,,,,,600,,,,,,8000,,,,,,,,,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,12000,,600,,,,,,,,,,Negetive,29600,
august week 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,120,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,,Positive,6120,
august week 4,,,,,2000,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,Neutral,7120,
august week 5,,,,,,,,,,,,,,,,,34600,,8900,,,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,5800,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Negetive,63800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
september week 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,,800,,,,,,,,,,Neutral,8800,95850
september week 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,Positive,1200,
september week 3,,,,700,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,8900,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,700,,,,,,,900,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,Negetive,18000,
september week 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28000,,,,,,,,,,,,,,,,,,,14000,,,,,,,,,,,,,200,,,,,,,,,,,,,,,150,,,,,,,,,,Neutral,42350,
september week 5,,20500,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Negetive,25500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
october week 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,7900,,,,,,,,,,,,Neutral,9450,111600
october week 2,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,3000,,200,,,,,,,,,,,,,3900,,,,,,,,4000,5000,,,Positive,17400,
october week 3,,,500,,500,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,600,,,,,4000,,7000,600,,very positive,14450,
october week 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,,600,,,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,6000,,500,,,,,,,,,,,,,,,,,,,,9000,,,,,positive,34100,
october week 5,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,23500,,,,,,,,,,,,,,,,1900,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,36200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
november week 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,28000,,,,,,,,,,,,positive,28150,95020
november week 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400,,,,,,,,,900,,,Neutral,6300,
november week 3,,,,,500,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,500,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive,3600,
november week 4,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,4700,,,,,,,,,,,,Neutral,5620,
november week 5,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,8000,,600,,14000,,,,,,,,,,,,,600,,,,,,,500,,,,,,,,,,,,,,,,,,,,27500,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very negetive,51350,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
december week 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34000,,,,,,,,,,,,Very positive,34000,168550
december week 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,6000,3000,8500,,Positive,18000,
december week 3,,,4500,6000,2400,,,,,2500,,4000,800,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,41100,
december week 4,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,22600,
december week 5,,36700,,,,,,16000,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very positive,52850,
