Timestamp,Are you employed?,What is your job?,How many people are in your house?,What is your personal income?,What is your total household income?,What categories of income do you currently have?,If u said other please mention what it was,Do you have a vehicle/s?,Do you live alone and cover your own expenses?,"If you live alone, How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly","If you live alone, How much do you spend on basic needs monthly?",If you live with family How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly,If you live with family How much do you spend on basic needs monthly?,Do you have any issues in handling your income and expenses? If so please mention. ,How much do you save monthly?,How much do you want to save monthly ( could be different from what you actually save),Age,Savings_Ratio,financial_priority,detailed_advice,Unnamed: 21,Risk_proxy_returns,Investment type,unwanted_spending,basic_needs,WMI,FRF,DSE,CFH
04/01/2025 22:30,1,HR Manager,6,65000,270000,"Salary, Commission",pension,No,no,0.0,0.0,22000.0,245000.0,No,3000,"90,000",34,1.111111111,General Finance,Consult a financial advisor,0.0,0.011235955,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver",22000.0,245000.0,0.0008693093396625086,0.3031509139138076,3.0226053577640147e-06,42.34687793463137
10/01/2025 20:10,1,Design Engineer,3,140000,1800000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,0.0,0.0,294000.0,352500.0,No,1153500,200000,27,64.08333333,General Finance,Consult a financial advisor,0.0,1.784222738,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",294000.0,352500.0,0.2478755047138501,0.5867668389691182,1.7660656179655744e-07,2964604.386071645
04/01/2025 23:06,1,Diagnostic Technician,4,60000,260000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,0.0,0.0,24000.0,144000.0,No,92000,65000,42,35.38461538,General Finance,Consult a financial advisor,0.0,0.547619048,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",24000.0,144000.0,0.04716463783268993,0.6344549352980412,3.867070213310081e-06,51497.11803769008
,1,Restaurant Manager,2,80000,120000,Salary,,No,no,0.0,0.0,10000.0,91500.0,Yes,18500,"40,000",47,15.41666667,General Finance,Consult a financial advisor,0.0,0.18226601,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",10000.0,91500.0,0.017049332366839323,0.40213950821916244,1.5397354067266854e-05,4152.5067169868535
30/12/2024 12:34,1,Fashion Designer,4,100000,250000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,0.0,0.0,28000.0,197500.0,No,24500,"40,000",26,9.8,General Finance,Consult a financial advisor,0.0,0.10864745,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",28000.0,197500.0,0.005640011950244198,0.29658521822057293,3.9750246379846745e-06,3020.8607908704867
05/01/2025 00:18,1,Stock Broker,1,55000,55000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Graphic design gigs,Yes,yes,10000.0,26500.0,0.0,0.0,No,18500,80 000,42,33.63636364,General Finance,Consult a financial advisor,0.0,0.506849315,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.0,0.0,3.723234092457217,1.0906901585356905,25161627.888923608,82543624.84527181
29/12/2024 17:12,0,,2,150000,150000,"Freelancing, Brand endorsements",,Yes,no,0.0,0.0,15500.0,107000.0,No,27500,30 000,45,18.33333333,General Finance,Consult a financial advisor,0.0,0.224489796,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver",15500.0,107000.0,0.01130125713976318,0.3839530992934646,9.538436911943101e-06,9025.842359977207
30/12/2024 12:37,1,Design Engineer,2,1500000,1500000,"Investments (fixed deposits, stocks etc), Salary",,Yes,no,0.0,0.0,210000.0,330500.0,No,959500,70000,30,63.96666667,General Finance,Consult a financial advisor,0.0,1.775208141,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",210000.0,330500.0,0.012592677074075924,0.518173953046582,3.79155056528931e-07,2115371.6721765907
04/01/2025 23:10,1,Dancer,1,150000,150000,"Salary, Freelancing",pension,Yes,yes,16000.0,76000.0,0.0,0.0,No,58000,70000,54,38.66666667,General Finance,Consult a financial advisor,0.0,0.630434783,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.0,0.0,4.94112327740072,1.1235808831448808,14078014.435438413,1756828937.112674
30/12/2024 12:34,1,contract construction worker,3,120000,200000,"Salary, Commission, Investments",,Yes,no,0.0,0.0,48000.0,113000.0,No,39000,60000,33,19.5,General Finance,Consult a financial advisor,0.0,0.242236025,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",48000.0,113000.0,0.007901140425627803,0.3420120106333685,2.157132261728794e-06,8903.03242959787
30/12/2024 12:37,1,Deputy General Manager (Construction),5,160000,400000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,0.0,0.0,74000.0,264000.0,No,62000,200 000,33,15.5,General Finance,Consult a financial advisor,0.0,0.183431953,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",74000.0,264000.0,0.0051435886251701216,0.349170648861247,7.790535995709369e-07,17098.532597343412
27/12/2024 20:51,1,retail store,3,130000,320000,"Salary, Investments, Commission",pension,Yes,no,0.0,0.0,76000.0,185000.0,No,59000,"90,000",49,18.4375,General Finance,Consult a financial advisor,0.0,0.22605364,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",76000.0,185000.0,0.009801414988217393,0.4078871899698413,6.280815833345639e-07,18754.49858259032
30/12/2024 12:59,1,Repairer,3,65000,250000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,0.0,0.0,16000.0,145000.0,No,89000,"80,000",27,35.6,General Finance,Consult a financial advisor,0.0,0.552795031,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",16000.0,145000.0,0.05890815428207427,0.6564341203909968,1.1331165430205796e-05,48483.97086794072
27/12/2024 20:57,1,small grocery shop,4,65000,180000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,0.0,0.0,36000.0,141000.0,No,3000,"70,000",20,1.666666667,General Finance,Consult a financial advisor,0.0,0.016949153,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits",36000.0,141000.0,0.0008192574960675321,0.21923351738910157,2.400373563686918e-06,27.651479316321268
30/12/2024 12:30,1,Electrical Engineering Tech,3,170000,230000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,0.0,0.0,69000.0,93000.0,No,68000,85000,50,29.56521739,General Finance,Consult a financial advisor,0.0,0.419753086,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",69000.0,93000.0,0.009237033580214991,0.4150437557808019,6.980207153836599e-07,34670.14161725726
04/01/2025 22:30,1,Stock Broker,3,60000,250000,"Salary, Freelancing",pension,Yes,no,0.0,0.0,21000.0,122500.0,No,106500,"60,000",48,42.6,General Finance,Consult a financial advisor,0.0,0.742160279,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",21000.0,122500.0,0.0804525152294223,0.7337517583776139,4.4047540459403995e-06,83673.11498525194
30/12/2024 12:18,1,Key Account Manager,2,160000,1800000,"Freelancing, Brand endorsements",pension,Yes,no,0.0,0.0,159000.0,359000.0,No,1282000,"70,000",39,71.22222222,General Finance,Consult a financial advisor,0.0,2.474903475,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",159000.0,359000.0,0.7387611158874001,0.8720383779224639,4.483847768422205e-07,6440256.384991055
