Timestamp,Are you employed?,What is your job?,How many people are in your house?,What is your personal income?,What is your total household income?,What categories of income do you currently have?,If u said other please mention what it was,Do you have a vehicle/s?,Do you live alone and cover your own expenses?,"If you live alone, How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly","If you live alone, How much do you spend on basic needs monthly?",If you live with family How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly,If you live with family How much do you spend on basic needs monthly?,,Do you have any issues in handling your income and expenses? If so please mention. ,How much do you save monthly?,How much do you want to save monthly ( could be different from what you actually save),Age,savings_ratio,financial_priority,detailed_advice,,risk proxy return,Investment type
04/01/2025 22:30,1,HR Manager,6,65000,270000,"Salary, Commission",pension,No,no,,"90,000",10000,240000,,No,5000,"90,000",34,0.076923077,General Finance,Consult a financial advisor,,60.62370995,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver"
10/01/2025 20:10,1,Design Engineer,3,140000,1800000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000",22 000,120000,,No,55000,200000,27,0.39285714285714285,General Finance,Consult a financial advisor,,71.0345693,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
04/01/2025 23:06,1,Diagnostic Technician,4,60000,"260,000","Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,,"40,000",110000,,No,40000,65000,42,0.6666666666666666,General Finance,Consult a financial advisor,,60.02169425,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
,1,Restaurant Manager,2,80000,"120,000",Salary,,No,no,,,"15,000","75,000",,Yes,20000,"40,000",47,0.25,General Finance,Consult a financial advisor,,60.71634516,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:34,1,Fashion Designer,4,100000,250000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000","12,000",90000,,No,65000,"40,000",26,0.65,General Finance,Consult a financial advisor,,67.21082848,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
05/01/2025 00:18,1,Stock Broker,1,55000,55000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Graphic design gigs,Yes,yes,10000,"90,000",22000,100 000,,No,30000,80 000,42,0.5454545454545454,General Finance,Consult a financial advisor,,66.73408686,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
29/12/2024 17:12,0,,2,150000,"150,000","Freelancing, Brand endorsements",,Yes,no,,"90,000",10 000,160000,,No,5000,30 000,45,0.033333333,General Finance,Consult a financial advisor,,57.43927493,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver"
30/12/2024 12:37,1,Design Engineer,2,1500000,"1,500,000","Investments (fixed deposits, stocks etc), Salary",,Yes,no,,"90,000",10000,"80,000",,No,35000,70000,30,0.023333333333333334,General Finance,Consult a financial advisor,,57.97260247,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
04/01/2025 23:10,1,Dancer,1,150000,"150,000","Salary, Freelancing",pension,Yes,yes,16000,,"22,000",140 000,,No,40000,70000,54,0.26666666666666666,General Finance,Consult a financial advisor,,62.07303209,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:34,1,contract construction worker,3,120000,200000,"Salary, Commission, Investments",,Yes,no,,40000,40000,"180,000",,No,60000,60000,33,0.5,General Finance,Consult a financial advisor,,62.17755544,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
30/12/2024 12:37,1,Deputy General Manager (Construction),5,160000,"400,000","Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000",10 000,"160,000",,No,65000,200 000,33,0.40625,General Finance,Consult a financial advisor,,63.74484953,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
27/12/2024 20:51,1,retail store,3,130000,320000,"Salary, Investments, Commission",pension,Yes,no,,"90,000","12,000",300000,,No,90000,"90,000",49,0.6923076923076923,General Finance,Consult a financial advisor,,66.66315395,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:59,1,Repairer,3,65000,"250,000","Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,,7000,130000,,No,40000,"80,000",27,0.6153846153846154,General Finance,Consult a financial advisor,,71.00880708,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
27/12/2024 20:57,1,small grocery shop,4,65000,180000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,"90,000","10,000",160000,,No,5000,"70,000",20,0.076923077,General Finance,Consult a financial advisor,,65.20704328,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits"
30/12/2024 12:30,1,Electrical Engineering Tech,3,170000,230000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000","18,000","160,000",,No,150000,85000,50,0.8823529411764706,General Finance,Consult a financial advisor,,60.43822583,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
04/01/2025 22:30,1,Stock Broker,3,60000,250000,"Salary, Freelancing",pension,Yes,no,,"90,000",28 000,70 000,,No,5000,"60,000",48,0.083333333,General Finance,Consult a financial advisor,,61.62478543,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:18,1,Key Account Manager,2,160000,1800000,"Freelancing, Brand endorsements",pension,Yes,no,,"90,000",12000,180 000,,No,500000,"70,000",39,3.125,General Finance,Consult a financial advisor,,68.85263168,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
30/12/2024 12:26,0,,3,170000,270000,"Salary, Investments, Self-owned business",pension,Yes,no,,"90,000",100000,120000,,No,70000,"90,000",38,0.4117647058823529,General Finance,Consult a financial advisor,,49.52311936,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
30/12/2024 12:30,1,Varnisher,4,180000,50 000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000",70000,180 000,,No,45000,"20,000",59,0.25,General Finance,Consult a financial advisor,,61.96315171,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
10/01/2025 19:40,1,Senior insurance Executive,3,120000,"200,000","Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000",10 000,90 000,,No,70000,50 000,39,0.5833333333333334,General Finance,Consult a financial advisor,,64.61741228,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
30/12/2024 12:30,1,Director engineering,3,140000,240 000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Event betting cuts,Yes,no,,"90,000","40,000","180,000",,No,50000,60000,24,0.35714285714285715,General Finance,Consult a financial advisor,,66.34882575,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:48,0,Retired,4,140000,170 000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,No,no,,"90,000",18000,"160,000",,No,40000,80 000,51,0.2857142857142857,General Finance,Consult a financial advisor,,59.97833409,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:37,1,retail store,3,180000,"180,000","Salary, Commission",pension,Yes,no,,"90,000",110000,"90,000",,No,5000,90 000,40,0.027777777777777776,General Finance,Consult a financial advisor,,35.07180682,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
04/01/2025 22:30,1,Designer,2,170000,"220,000","Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,30000,150 000,,yes,50000,"80,000",28,0.29411764705882354,General Finance,Consult a financial advisor,,70.35166208,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:37,1,retail store,3,160000,210000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,No,no,,,10 000,150000,,No,40000,60000,30,0.25,General Finance,Consult a financial advisor,,64.92937555,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver"
10/01/2025 19:40,1,Director engineering,4,15000,240 000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,40 000 ,75 000,,No,5000,"60,000",41,0.3333333333333333,General Finance,Consult a financial advisor,,62.57291937,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
30/12/2024 12:30,1,Draftsperson,3,15000,430000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,"90,000",12000,200000,,No,200000,90 000,28,13.333333333333334,General Finance,Consult a financial advisor,,80.28103143,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
27/12/2024 20:51,1,Financial Advisor,3,100000,260000,"Freelancing, Brand endorsements",pension,Yes,no,,"90,000",10 000,170000,,No,90000,"90,000",55,0.9,General Finance,Consult a financial advisor,,62.72545819,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:23,1,Supervisor,2,140000,240 000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,"90,000",30 000,"60,000",,No,60000,"50,000",51,0.42857142857142855,General Finance,Consult a financial advisor,,63.2548585,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:26,1,Internal Auditor,2,160000,190000,"Salary, Pension",pension,Yes,no,,"90,000","10,000","130,000",,No,150000,"8,000",23,0.9375,General Finance,Consult a financial advisor,,71.69996343,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
29/12/2024 17:15,0,,3,15000,30000,"Freelancing, Brand endorsements",pension,Yes,no,,"90,000",13000,120000,,No,60000,"90,000",29,4,General Finance,Consult a financial advisor,,73.15819646,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:18,1,Material technician,3,200000,"220,000","Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,20 000,15000,170000,,No,25000,85000,41,0.125,General Finance,Consult a financial advisor,,59.12454535,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver"
30/12/2024 12:37,1,Deputy Shop Manager,3,110000,210000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000",13000,150000,,No,55000,80 000,46,0.5,General Finance,Consult a financial advisor,,64.87534135,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
27/12/2024 20:57,0,,4,140000,"180,000","Freelancing, Brand endorsements",pension,Yes,no,,"90,000",10 000,240000,,No,0,90 000,29,0,General Finance,Consult a financial advisor,,41,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits"
27/12/2024 11:14,1,small grocery shop,4,15000,75000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,,5000,60000,,yes,10000,20000,59,0.6666666666666666,General Finance,Consult a financial advisor,,62.46845032,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:30,1,Internal Auditor,4,1500000,300 000,"Salary, Pension",,No,no,,,"15,000",150 000,,No,5000,"75,000",25,0.003333333,General Finance,Consult a financial advisor,,61.36795024,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits"
30/12/2024 12:18,0,,2,140000,80 000,"Salary, Investments, Self-owned business",pension,Yes,no,,"90,000",10 000,190000,,No,500000,30000,34,3.5714285714285716,General Finance,Consult a financial advisor,,71.62284676,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
30/12/2024 12:34,1,Warehouse Manager,4,1500000,130 000,"Investments (fixed deposits, stocks etc), Salary",pension,No,no,,"90,000",10 000,130000,,No,35000,"40,000",36,0.023333333333333334,General Finance,Consult a financial advisor,,60.47260247,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
30/12/2024 12:44,1,Window Dresser,4,160000,320000,"Freelancing, Brand endorsements",pension,Yes,no,,"90,000","12,000",150000,,no,70000,"90,000",39,0.4375,General Finance,Consult a financial advisor,,62.33038054,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
30/12/2024 12:48,1,merchandiser,3,130000,1800000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,"90,000",12000,150 000,,No,45000,65000,22,0.34615384615384615,General Finance,Consult a financial advisor,,68.29724679,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:18,1,Warehouse Manager,2,1500000,"1,500,000","Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,no,,"90,000",10 000,160000,,No,5000,65 000,36,0.003333333,General Finance,Consult a financial advisor,,56.36795024,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver"
04/01/2025 23:53,1,Accounts assistant,4,70000,170000,Salary,,No,no,,,8000,100000,,Yes,40000,40000,22,0.5714285714285714,General Finance,Consult a financial advisor,,70.29518163,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
04/01/2025 22:47,1,Forman (Government),2,70000,"160,000","Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000","22,000",70 000,,No,45000,60000,29,0.6428571428571429,General Finance,Consult a financial advisor,,72.21190123,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
