Age,Are you employed?,Do you have a vehicle/s?,Do you have any issues in handling your income and expenses? If so please mention.,Do you live alone and cover your own expenses?,How many people are in your house?,How much do you save monthly?,How much do you want to save monthly ( could be different from what you actually save),If u said other please mention what it was,"If you live alone, How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly","If you live alone, How much do you spend on basic needs monthly?",If you live with family How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly,If you live with family How much do you spend on basic needs monthly?,Investment type,Risk_proxy_returns,Savings_Ratio,Timestamp,Unnamed: 21,What categories of income do you currently have?,What is your job?,What is your personal income?,What is your total household income?,detailed_advice,financial_priority,investment_advice_1,investment_advice_2,investment_advice_avoid
34,1,No,No,no,6,3000,"90,000",pension,,,22000.0,245000.0,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver",0.011235955,1.111111111,04/01/2025 22:30,,"Salary, Commission",HR Manager,65000,270000,Consult a financial advisor,General Finance,Invest in Blue Chip Stocks,Try Crypto ETFs,Avoid Non-Diversified Portfolios
27,1,Yes,No,no,3,1153500,200000,pension,,,294000.0,352500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",1.784222738,64.08333333,10/01/2025 20:10,,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Design Engineer,140000,1800000,Consult a financial advisor,General Finance,Invest in Index Funds,Dividend-paying Stocks,Avoid Frequent Trading
42,1,Yes,No,no,4,92000,65000,,,,24000.0,144000.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.547619048,35.38461538,04/01/2025 23:06,,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Diagnostic Technician,60000,260000,Consult a financial advisor,General Finance,Diversify with Mutual Funds,Invest in Collectibles,Avoid Ignoring Tax Implications
47,1,No,Yes,no,2,18500,"40,000",,,,10000.0,91500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.18226601,15.41666667,,,Salary,Restaurant Manager,80000,120000,Consult a financial advisor,General Finance,Contribute to Retirement Fund,Balanced Mutual Funds,Avoid High Leverage
26,1,Yes,No,no,4,24500,"40,000",pension,,,28000.0,197500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.10864745,9.8,30/12/2024 12:34,,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",Fashion Designer,100000,250000,Consult a financial advisor,General Finance,Diversify with Mutual Funds,Green Bonds,Don't Chase Unrealistic Returns
42,1,Yes,No,yes,1,18500,80 000,Graphic design gigs,10000.0,26500.0,,,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.506849315,33.63636364,05/01/2025 00:18,,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Stock Broker,55000,55000,Consult a financial advisor,General Finance,Contribute to Retirement Fund,Diversify with Islamic Finance,Don't Chase Unrealistic Returns
45,0,Yes,No,no,2,27500,30 000,,,,15500.0,107000.0,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver",0.224489796,18.33333333,29/12/2024 17:12,,"Freelancing, Brand endorsements",,150000,150000,Consult a financial advisor,General Finance,Invest in Blue Chip Stocks,Use AI-based Portfolio Managers,Avoid Frequent Trading
30,1,Yes,No,no,2,959500,70000,,,,210000.0,330500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",1.775208141,63.96666667,30/12/2024 12:37,,"Investments (fixed deposits, stocks etc), Salary",Design Engineer,1500000,1500000,Consult a financial advisor,General Finance,Use Budgeting Tools,Precious Metal Mutual Funds,Avoid Frequent Trading
54,1,Yes,No,yes,1,58000,70000,pension,16000.0,76000.0,,,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.630434783,38.66666667,04/01/2025 23:10,,"Salary, Freelancing",Dancer,150000,150000,Consult a financial advisor,General Finance,Use Tax-Efficient Accounts,Open Dollar Account,Avoid Undocumented Assets
33,1,Yes,No,no,3,39000,60000,,,,48000.0,113000.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.242236025,19.5,30/12/2024 12:34,,"Salary, Commission, Investments",contract construction worker,120000,200000,Consult a financial advisor,General Finance,Invest in Blue Chip Stocks,Start Freelancing for Side Income,Avoid Emotion-Driven Decisions
