Timestamp,Are you employed?,What is your job?,How many people are in your house?,What is your personal income?,What is your total household income?,What categories of income do you currently have?,If u said other please mention what it was,Do you have a vehicle/s?,Do you live alone and cover your own expenses?,"If you live alone, How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly","If you live alone, How much do you spend on basic needs monthly?",If you live with family How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly,If you live with family How much do you spend on basic needs monthly?,Do you have any issues in handling your income and expenses? If so please mention. ,How much do you save monthly?,How much do you want to save monthly ( could be different from what you actually save),Age,Savings_Ratio,financial_priority,detailed_advice,Unnamed: 21,Risk_proxy_returns,Investment type,Advice 1,Advice 2,Advice 3
04/01/2025 22:30,1,HR Manager,6,65000,270000,"Salary, Commission",pension,No,no,,,22000.0,245000.0,No,3000,"90,000",34,1.111111111,General Finance,Consult a financial advisor,,0.011235955,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver",2–3 months a year to ban non-essential purchases.,Buy groceries in bulk with neighbours/friends and split costs—saves on unit price.,"Grow a home garden to reduce food costs or collect free seasonal produce (jackfruit, coconuts) from public spaces."
10/01/2025 20:10,1,Design Engineer,3,140000,1800000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,294000.0,352500.0,No,1153500,200000,27,64.08333333,General Finance,Consult a financial advisor,,1.784222738,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Automate savings to avoid lifestyle inflation.,Avoid luxury spending: Resist splurging on cars/ clothing,Avoid impulsive spending on gadgets; prioritize small emergency funds.
04/01/2025 23:06,1,Diagnostic Technician,4,60000,260000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,,24000.0,144000.0,No,92000,65000,42,35.38461538,General Finance,Consult a financial advisor,,0.547619048,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",Second-hand purchases: Buy refurbished phones/electronics on Kapruka or Facebook Marketplace.,Grow emergency savings (3–6 months of expenses).,Save to prepay mortgages to reduce liabilities.
,1,Restaurant Manager,2,80000,120000,Salary,,No,no,,,10000.0,91500.0,Yes,18500,"40,000",47,15.41666667,General Finance,Consult a financial advisor,,0.18226601,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Free public healthcare: Use government clinics to avoid private hospital costs.,Start an emergency fund (aim for 1–4 months of expenses),Save and keep 1–2 years of expenses in cash/cash equivalents for emergencies.
30/12/2024 12:34,1,Fashion Designer,4,100000,250000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,28000.0,197500.0,No,24500,"40,000",26,9.8,General Finance,Consult a financial advisor,,0.10864745,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules","Save for marriage, children, or housing.",Avoid high-interest debt/ loan sharks (common in informal lending).,"Save to build income diversity (side hustles, freelancing, or overseas jobs)."
05/01/2025 00:18,1,Stock Broker,1,55000,55000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Graphic design gigs,Yes,yes,10000.0,26500.0,,,No,18500,80 000,42,33.63636364,General Finance,Consult a financial advisor,,0.506849315,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",Grow emergency savings (3–6 months of expenses).,Save to prepay mortgages to reduce liabilities.,"Save to build income diversity (side hustles, freelancing, or overseas jobs)."
29/12/2024 17:12,0,,2,150000,150000,"Freelancing, Brand endorsements",,Yes,no,,,15500.0,107000.0,No,27500,30 000,45,18.33333333,General Finance,Consult a financial advisor,,0.224489796,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver",Grow emergency savings (3–6 months of expenses).,Save to prepay mortgages to reduce liabilities.,"Save to build income diversity (side hustles, freelancing, or overseas jobs)."
30/12/2024 12:37,1,Design Engineer,2,1500000,1500000,"Investments (fixed deposits, stocks etc), Salary",,Yes,no,,,210000.0,330500.0,No,959500,70000,30,63.96666667,General Finance,Consult a financial advisor,,1.775208141,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",Automate savings to avoid lifestyle inflation.,Avoid luxury spending: Resist splurging on cars/ clothing,Avoid impulsive spending on gadgets; prioritize small emergency funds.
04/01/2025 23:10,1,Dancer,1,150000,150000,"Salary, Freelancing",pension,Yes,yes,16000.0,76000.0,,,No,58000,70000,54,38.66666667,General Finance,Consult a financial advisor,,0.630434783,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Save and keep 1–2 years of expenses in cash/cash equivalents for emergencies.,Boost retirement contributions,Free public healthcare: Use government clinics to avoid private hospital costs.
30/12/2024 12:34,1,contract construction worker,3,120000,200000,"Salary, Commission, Investments",,Yes,no,,,48000.0,113000.0,No,39000,60000,33,19.5,General Finance,Consult a financial advisor,,0.242236025,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner","Save to build income diversity (side hustles, freelancing, or overseas jobs).",Avoid impulsive spending on gadgets; prioritize small emergency funds.,Buy discounted items as much as possible
