Timestamp,Are you employed?,What is your job?,How many people are in your house?,What is your personal income?,What is your total household income?,What categories of income do you currently have?,If u said other please mention what it was,Do you have a vehicle/s?,Do you live alone and cover your own expenses?,"If you live alone, How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly","If you live alone, How much do you spend on basic needs monthly?",If you live with family How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly,If you live with family How much do you spend on basic needs monthly?,Do you have any issues in handling your income and expenses? If so please mention. ,How much do you save monthly?,How much do you want to save monthly ( could be different from what you actually save)
13/12/2024 14:35:24,Yes,Civil Engineer,4,300000,500000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,30000,150000,No,150000,300000
13/12/2024 14:38:32,Yes,-,4,40 000,40 000,pension,pension,No,No,,,7000,28 000 ,yes,5000,10 000
13/12/2024 14:40:24,No,,4,300000,400000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,No,No,,,25000,150000,No,200000,300000
13/12/2024 14:43:37,Yes,merchandiser,3,90 000,500 000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,40 000 ,60 000 ,yes,100 000,200 000
13/12/2024 14:46:21,Yes,Insurance Executive,4,150000,300000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,15000,80000,No,120000,200000
13/12/2024 14:50:22,No,Insurance Manager,3,250000,300000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,20000,100000,No,150000,200000
13/12/2024 14:55:10,Yes,Senior insurance Executive,5,180000,250000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,20000,110000,No,70000,150000
13/12/2024 14:55:19,Yes,mason,5,80 000,80 000,Salary,,No,No,,,25 000,40 000,yes,10 000,30 000
13/12/2024 15:01:49,Yes,contract construction worker,5,150 000,300 000,"Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,8000,70 000,no,150 000,200 000
13/12/2024 15:15:42,Yes,senior graduate teacher,4,75000,160 000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,No,,,10 000,140 000,yes,0,20 000
13/12/2024 15:19:35,Yes,senior chemist,1,170 000,170 000,Salary,,No,Yes,10 000,20 000,,,no,120 000,120 000
13/12/2024 15:28:23,Yes,trainee merchandiser,1,65 000,65 000,Salary,,No,Yes,10 000,15000,,,no,15 000,25000
13/12/2024 15:36:17,Yes,lawyer,2,200 000,500 000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,Yes,,,50 000,60 000,yes,300 000,300 000
14/12/2024 15:04:29,Yes,Accounts assistant,5,80000,180000,Salary,,No,No,,,10000,70000,Yes,50000,100000
14/12/2024 15:10:38,Yes,Teacher,5,110000,190000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,No,,,12000,90000,Yes,50000,80000
14/12/2024 15:18:39,Yes,Doctor,5,280000,430000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,15000,150000,No,200000,250000
14/12/2024 15:23:44,No,Housewife,5,150000,420000,"Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,14000,150000,No,120000,170000
14/12/2024 15:28:00,Yes,Personal Manager,3,140000,190000,"Investments (fixed deposits, stocks etc), Salary",,No,No,,,10000,90000,No,60000,100000
14/12/2024 15:47:39,Yes,Senior Civil Engineer,4,350000,500000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,40000,140000,No,100000,200000
14/12/2024 15:51:03,Yes,Material Engineer,4,200000,600000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,40000,140000,No,250000,250000
19/12/2024 14:49:50,Yes,Secretary,3,70000,150000,Salary,,Yes,No,,,5000,40000,Difficulty in saving,20000,50000
19/12/2024 14:53:41,Yes,Draftsman,4,90000,90000,Salary,,No,Yes,15000,40000,,,Yes.I want to save more,35000,50000
19/12/2024 14:57:05,Yes,Technical officer,4,120000,180000,Salary,,Yes,No,,,15000,75000,No,90000,100000
19/12/2024 15:00:58,Yes,Accounts assistant,3,110000,110000,Salary,,No,No,,,10000,60000,No,40000,40000
19/12/2024 15:06:49,Yes,Technical officer,2,80000,110000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,13000,50000,No,47000,65000
19/12/2024 15:11:56,Yes,University Lecturer,4,500000,500000,"Salary, ",Private tution ,Yes,No,,,30000,150000,No,250000,250000
19/12/2024 15:18:50,Yes,Quantity surveyor,4,200000,320000,Salary,,Yes,No,,,20000,130000,No,120000,150000
19/12/2024 15:21:02,Yes,Civil Engineer,5,300000,400000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,25000,160000,No,100000,100000
19/12/2024 15:24:19,Yes,Teacher,4,60000,160000,Salary,,Yes,No,,,14000,110000,Yes. Want to save more,30000,50000
19/12/2024 15:32:38,Yes,Office manager,3,130000,130000,Salary,,No,No,,,8000,60000,No,50000,50000
19/12/2024 15:35:17,Yes,Environment specialist,4,180000,240000,Salary,,Yes,No,,,18000,90000,No,100000,130000
19/12/2024 15:39:05,Yes,Project manager,5,250000,450000,Salary,,Yes,No,0,,20000,180000,No,200000,200000
19/12/2024 15:44:00,Yes,Store keeper,3,80000,130000,Salary,,Yes,No,,,12000,80000,Yes.i  Want to save more,20000,50000
25/12/2024 13:52:15,Yes,Planning Engineer,4,300000,350000,Salary,,Yes,No,,,22000,200000,No,150000,200000
25/12/2024 13:56:50,Yes,Quantity surveyor,3,150000,200000,"Salary, ",Private practice,Yes,No,,,10000,125000,No,50000,80000
25/12/2024 14:00:26,No,,4,600000,700000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,25000,300000,No,200000,200000
25/12/2024 14:06:57,Yes,Senior civil Engineer,3,500000,500000,Salary,,Yes,No,,,15000,190000,No,150000,150000
25/12/2024 14:09:54,Yes,Senior project Manager,4,400000,650000,Salary,,Yes,No,,,25000,170000,No,180000,180000
25/12/2024 14:12:26,No,,2,500000,500000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,10000,130000,No,300000,300000
25/12/2024 14:15:41,Yes,Resident Engineer,4,350000,600000,Salary,,Yes,Yes,,,25000,240000,No,100000,200000
25/12/2024 14:20:11,Yes,Office Manager,5,160000,200000,Salary,,Yes,No,,,10000,120000,No,50000,75000
25/12/2024 14:22:28,Yes,Store keeper,3,90000,140000,Salary,,Yes,No,,,,120000,No,10000,25000
27/12/2024 11:09:40,Yes,storekeeper,4,60000,75000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,5000,,,60000,yes,10000,20000
27/12/2024 11:14:50,Yes,small grocery shop,4,15000,75000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,5000,60000,yes,10000,20000
27/12/2024 11:19:39,Yes,retail store,4,50000,110000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,10000,70000,yes,30000,40000
27/12/2024 11:23:10,Yes,Chairman ((Government),4,140000,900000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,25000,225000,No,100000,150000
27/12/2024 11:27:10,Yes,Civil Engineer,2,300000,520000,Salary,,Yes,No,,,30000,160000,No,125000,200000
