Timestamp,Are you employed?,What is your job?,How many people are in your house?,What is your personal income?,What is your total household income?,What categories of income do you currently have?,If u said other please mention what it was,Do you have a vehicle/s?,Do you live alone and cover your own expenses?,"If you live alone, How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly","If you live alone, How much do you spend on basic needs monthly?",If you live with family How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly,If you live with family How much do you spend on basic needs monthly?,Do you have any issues in handling your income and expenses? If so please mention. ,How much do you save monthly?,How much do you want to save monthly ( could be different from what you actually save),Age,savings_ratio,financial_priority,detailed_advice,optimal_saving  ,"optimal_saving,suitable_investment_type,suitable_equity_allocation"
4/1/2025 22:30,0,HR Manager,6,65000,270000,"Salary, Commission",pension,No,No,,"90,000",10000,240000,No,5000,"90,000",34,0.076923077,General Finance,Consult a financial advisor,48000,"65000,Retirement Funds,30%"
10/1/2025 20:10,0,Design Engineer,3,140000,1800000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,No,,"90,000",22 000,120000,No,55000,200000,27,0.39285714285714285,General Finance,Consult a financial advisor,52000,"180000,Aggressive Growth Stocks,75%"
4/1/2025 23:06,0,Diagnostic Technician,4,60000,"260,000","Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,"40,000",110000,No,40000,65000,42,0.6666666666666666,General Finance,Consult a financial advisor,100000,"50000,Index Funds,55%"
,0,Restaurant Manager,2,80000,"120,000",Salary,,No,No,,,"15,000","75,000",Yes,20000,"40,000",47,0.25,General Finance,Consult a financial advisor,8000,"35000,Conservative Bonds,40%"
30/12/2024 12:34:46,0,Fashion Designer,4,100000,250000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,Yes,,"90,000","12,000",90000,No,65000,"40,000",26,0.65,General Finance,Consult a financial advisor,50000,"55000,Real Estate Investment Trusts,60%"
5/1/2025 0:18,1,Stock Broker,1,55000,140 000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Graphic design gigs,Yes,No,,"90,000",22000,100 000,No,30000,80 000,42,0.5454545454545454,General Finance,Consult a financial advisor,18000,"60000,Technology Sector ETFs,65%"
29/12/2024 17:12:56,1,,2,150000,"45,000","Freelancing, Brand endorsements",,Yes,No,,"90,000",10 000,160000,No,5000,30 000,45,0.033333333,General Finance,Consult a financial advisor,48000,"45000,Freelancer Emergency Fund,20%"
30/12/2024 12:37:56,0,Design Engineer,2,1500000,"220,000","Investments (fixed deposits, stocks etc), Salary",,Yes,No,8000,"90,000",10000,"80,000",No,35000,70000,30,0.023333333333333334,General Finance,Consult a financial advisor,16000,"120000,Business Expansion Fund,50%"
4/1/2025 23:10,0,Dancer,1,150000,"150,000","Salary, Freelancing",pension,Yes,No,,,"22,000",140 000,No,40000,70000,54,0.26666666666666666,General Finance,Consult a financial advisor,360000,"90000,Art & Alternative Assets,35%"
30/12/2024 12:34:46,1,contract construction worker,3,120000,200000,"Salary, Commission, Investments",,Yes,No,,40000,40000,"180,000",No,60000,60000,33,0.5,General Finance,Consult a financial advisor,60000,"80000,Construction Industry ETFs,45%"
